,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-04-01,30,PR,125,9502,0,NIOBRARA,,,,,,,59.0,,5.0,,54.0,998.0,,,,,,
1,2020-03-01,31,PR,125,9502,0,NIOBRARA,,,,,,,57.0,,6.0,,51.0,998.0,,,,,,
2,2020-02-01,29,PR,125,9502,0,NIOBRARA,,,,,,,59.0,,4.0,,55.0,998.0,,,,,,
3,2020-01-01,31,PR,125,9502,0,NIOBRARA,,,,,,,54.0,,4.0,,50.0,997.0,,,,,,
4,2019-12-01,31,PR,125,9502,0,NIOBRARA,,,,,,,54.0,,4.0,,50.0,998.0,,,,,,
5,2019-11-01,30,PR,125,9502,0,NIOBRARA,,,,,,,53.0,,5.0,,48.0,997.0,,,,,,
6,2019-10-01,31,PR,125,9502,0,NIOBRARA,,,,,,,52.0,,4.0,1.0,47.0,998.0,,,,,,
7,2019-09-01,30,PR,125,9502,0,NIOBRARA,,,,,,,55.0,,4.0,1.0,50.0,998.0,,,,,,
8,2019-08-01,31,PR,125,9502,0,NIOBRARA,,,,,,,54.0,,4.0,1.0,49.0,999.0,,,,,,
9,2019-07-01,31,PR,125,9502,0,NIOBRARA,,,,,,,51.0,,4.0,1.0,46.0,998.0,,,,,,
10,2019-06-01,30,PR,125,9502,0,NIOBRARA,,,,,,,53.0,,4.0,1.0,48.0,998.0,,,8.0,,,C
11,2019-05-01,31,PR,125,9502,0,NIOBRARA,,,,,,,50.0,,4.0,1.0,45.0,998.0,,,8.0,,,C
12,2019-04-01,30,PR,125,9502,0,NIOBRARA,,,,,,,59.0,,4.0,1.0,54.0,998.0,,,11.0,,,C
13,2019-03-01,31,PR,125,9502,0,NIOBRARA,,,,,,,64.0,,5.0,,59.0,997.0,,,7.0,,,C
14,2019-02-01,28,PR,125,9502,0,NIOBRARA,,,,,,,71.0,,6.0,,65.0,1001.0,,,9.0,,,C
15,2019-01-01,31,PR,125,9502,0,NIOBRARA,,,,,,,69.0,,5.0,,64.0,1001.0,,,13.0,,,C
16,2018-12-01,30,PR,125,9502,0,NIOBRARA,,,,,,,70.0,,5.0,,65.0,998.0,,,12.0,,,C
17,2018-11-01,30,PR,125,9502,0,NIOBRARA,,,,,,,75.0,,6.0,-1.0,70.0,1001.0,,,12.0,,,C
18,2018-10-01,31,PR,125,9502,0,NIOBRARA,,,,,,,78.0,,6.0,,72.0,995.0,,,15.0,,,C
19,2018-09-01,30,PR,125,9502,0,NIOBRARA,,,,,,,79.0,,6.0,,73.0,997.0,,,15.0,,,C
20,2018-08-01,31,PR,125,9502,0,NIOBRARA,,,,,,,81.0,,6.0,1.0,74.0,997.0,,,10.0,,,C
21,2018-07-01,31,PR,125,9502,0,NIOBRARA,,,,,,,85.0,,6.0,,79.0,999.0,,,12.0,,,C
22,2018-06-01,30,PR,125,9502,0,NIOBRARA,,,,,,,90.0,,7.0,1.0,82.0,998.0,,,12.0,,,C
23,2018-05-01,31,PR,125,9502,0,NIOBRARA,,,,,,,92.0,,7.0,1.0,84.0,997.0,,,14.0,,,C
24,2018-04-01,30,PR,125,9502,0,NIOBRARA,,,,,,,77.0,,6.0,1.0,70.0,994.0,,,12.0,,,C
25,2018-03-01,31,PR,125,9502,0,NIOBRARA,,,,,,,70.0,,5.0,1.0,64.0,996.0,,,12.0,,,C
26,2018-02-01,28,PR,125,9502,0,NIOBRARA,,,,,,,78.0,,6.0,,72.0,996.0,,,12.0,,,C
27,2018-01-01,31,PR,125,9502,0,NIOBRARA,,,,,,,86.0,,6.0,,80.0,996.0,,,8.0,,,C
28,2017-12-01,31,PR,125,9502,0,NIOBRARA,,,,,,,84.0,,6.0,-1.0,79.0,998.0,,,9.0,,,C
29,2017-11-01,30,PR,125,9502,0,NIOBRARA,,,,,,,84.0,,6.0,,78.0,996.0,,,9.0,,,C
30,2017-10-01,31,PR,125,9502,0,NIOBRARA,,,,,,,93.0,,7.0,,86.0,996.0,,,7.0,,,C
31,2017-09-01,30,PR,125,9502,0,NIOBRARA,,,,,,,88.0,,6.0,,82.0,997.0,,,9.0,,,C
