,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2015-07-01,0.0,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
1,2015-06-01,0.0,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
2,2015-05-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
3,2015-04-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
4,2015-03-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
5,2015-02-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
6,2015-01-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
7,2014-12-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
8,2014-11-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
9,2014-10-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
10,2014-09-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
11,2014-08-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
12,2014-07-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
13,2014-06-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
14,2014-05-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
15,2014-04-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
16,2014-03-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
17,2014-02-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
18,2014-01-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
19,2013-12-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
20,2013-11-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
21,2013-10-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
22,2013-09-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
23,2013-08-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
24,2013-07-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
25,2013-06-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
26,2013-05-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
27,2013-04-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
28,2013-03-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
29,2013-02-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
30,2013-01-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
31,2012-12-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
32,2012-11-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
33,2012-10-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
34,2012-09-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
35,2012-08-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
36,2012-07-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
37,2012-06-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
38,2012-05-01,,SI,1,7385,0,J SAND,,,,,,,,,,,,,,,,,,
